client_id,group,error
20185,test,repeated:step_3
20564,test,went_back:step_3_to_step_2
20564,test,went_back:step_3_to_step_2
20564,test,repeated:step_2
20564,test,repeated:step_3
20668,test,missing_confirm
20668,test,repeated:start
20898,control,missing_confirm
21200,test,missing_confirm
21200,test,went_back:step_3_to_start
21200,test,repeated:start
21281,test,went_back:step_1_to_start
21281,test,went_back:step_2_to_step_1
21281,test,repeated:start
21281,test,repeated:step_1
21281,test,repeated:step_2
21353,control,went_back:step_3_to_step_2
21353,control,went_back:step_3_to_step_2
21353,control,repeated:step_2
21353,control,repeated:step_3
21403,test,missing_confirm
21403,test,repeated:start
21498,control,went_back:step_3_to_start
21498,control,repeated:start
21498,control,repeated:step_1
21498,control,repeated:step_2
21498,control,repeated:step_3
21522,test,missing_confirm
21522,test,went_back:step_1_to_start
21522,test,went_back:step_3_to_start
21522,test,went_back:step_3_to_step_2
21522,test,went_back:step_2_to_step_1
21522,test,went_back:step_1_to_start
21522,test,repeated:start
21522,test,repeated:step_1
21522,test,repeated:step_2
21522,test,repeated:step_3
21596,test,went_back:step_1_to_start
21596,test,repeated:start
21596,test,repeated:step_1
21719,control,missing_confirm
21940,control,went_back:step_2_to_start
21940,control,repeated:start
21940,control,repeated:step_1
21940,control,repeated:step_2
21970,control,went_back:step_3_to_step_2
21970,control,went_back:confirm_to_start
21970,control,repeated:start
21970,control,repeated:step_1
21970,control,repeated:step_2
21970,control,repeated:step_3
22007,test,repeated:confirm
22793,test,missing_confirm
22885,control,missing_confirm
22885,control,went_back:step_2_to_step_1
22885,control,went_back:step_1_to_start
22885,control,went_back:step_2_to_start
22885,control,went_back:step_2_to_step_1
22885,control,went_back:step_3_to_step_2
22885,control,went_back:step_3_to_start
22885,control,repeated:start
22885,control,repeated:step_1
22885,control,repeated:step_2
22885,control,repeated:step_3
23276,control,went_back:confirm_to_step_3
23276,control,repeated:step_3
24079,control,missing_confirm
24079,control,repeated:start
24443,test,went_back:step_2_to_start
24443,test,went_back:step_2_to_step_1
24443,test,went_back:step_1_to_start
24443,test,went_back:step_2_to_step_1
24443,test,went_back:step_1_to_start
24443,test,went_back:step_2_to_step_1
24443,test,repeated:start
24443,test,repeated:step_1
24443,test,repeated:step_2
24443,test,repeated:step_3
24572,test,went_back:step_1_to_start
24572,test,repeated:start
24572,test,repeated:step_1
24841,test,went_back:confirm_to_start
24841,test,repeated:start
24841,test,repeated:step_1
24841,test,repeated:confirm
25026,test,repeated:confirm
25766,control,went_back:step_3_to_step_2
25766,control,repeated:step_2
25766,control,repeated:step_3
26105,test,repeated:start
26286,control,missing_confirm
26696,test,missing_confirm
26696,test,repeated:start
27021,control,went_back:step_3_to_start
27021,control,repeated:start
27021,control,repeated:step_1
27021,control,repeated:step_2
27021,control,repeated:step_3
27241,control,went_back:step_2_to_step_1
27241,control,went_back:confirm_to_start
27241,control,repeated:start
27241,control,repeated:step_1
27241,control,repeated:step_2
27764,test,went_back:step_1_to_start
27764,test,repeated:start
27764,test,repeated:step_1
27764,test,repeated:confirm
27988,control,went_back:step_2_to_start
27988,control,repeated:start
27988,control,repeated:step_1
27988,control,repeated:step_2
28241,test,repeated:confirm
28371,test,went_back:step_2_to_start
28371,test,repeated:start
28371,test,repeated:step_1
28371,test,repeated:step_2
28705,control,went_back:step_1_to_start
28705,control,went_back:step_2_to_start
28705,control,repeated:start
28705,control,repeated:step_1
28705,control,repeated:step_2
28857,control,went_back:step_2_to_start
28857,control,went_back:step_3_to_step_1
28857,control,went_back:step_3_to_start
28857,control,repeated:start
28857,control,repeated:step_1
28857,control,repeated:step_2
28857,control,repeated:step_3
29227,test,repeated:start
29227,test,repeated:confirm
29527,test,repeated:step_2
29595,control,repeated:confirm
30318,test,went_back:step_1_to_start
30318,test,went_back:step_3_to_start
30318,test,repeated:start
30318,test,repeated:step_1
30318,test,repeated:step_2
30318,test,repeated:step_3
30462,test,missing_confirm
30493,test,went_back:step_1_to_start
30493,test,repeated:start
30493,test,repeated:step_1
31191,control,missing_confirm
31191,control,repeated:start
31264,control,went_back:step_2_to_step_1
31264,control,repeated:start
31264,control,repeated:step_1
31264,control,repeated:step_2
31336,test,went_back:step_2_to_step_1
31336,test,went_back:step_3_to_step_1
31336,test,went_back:step_2_to_step_1
31336,test,went_back:step_1_to_start
31336,test,repeated:start
31336,test,repeated:step_1
31336,test,repeated:step_2
31336,test,repeated:step_3
31336,test,repeated:confirm
31499,test,went_back:step_1_to_start
31499,test,repeated:start
31499,test,repeated:step_1
31499,test,repeated:step_2
31502,control,went_back:step_3_to_start
31502,control,repeated:start
31502,control,repeated:step_1
31502,control,repeated:step_2
31502,control,repeated:step_3
31597,test,went_back:step_1_to_start
31597,test,went_back:step_3_to_start
31597,test,repeated:start
31597,test,repeated:step_1
31597,test,repeated:step_2
31597,test,repeated:step_3
31597,test,repeated:confirm
31766,test,missing_confirm
31766,test,went_back:step_1_to_start
31766,test,went_back:step_2_to_start
31766,test,repeated:start
31766,test,repeated:step_1
32305,control,missing_confirm
32471,test,missing_confirm
32471,test,went_back:step_3_to_start
32471,test,went_back:step_3_to_step_2
32471,test,went_back:step_2_to_step_1
32471,test,went_back:step_1_to_start
32471,test,repeated:start
32471,test,repeated:step_1
32471,test,repeated:step_2
32471,test,repeated:step_3
32746,test,went_back:step_1_to_start
32746,test,went_back:step_1_to_start
32746,test,repeated:start
32746,test,repeated:step_1
32859,control,missing_confirm
33265,test,repeated:confirm
33463,control,went_back:step_1_to_start
33463,control,went_back:step_3_to_step_1
33463,control,went_back:step_3_to_step_2
33463,control,repeated:start
33463,control,repeated:step_1
33463,control,repeated:step_2
33463,control,repeated:step_3
33472,test,repeated:confirm
34067,control,went_back:step_1_to_start
34067,control,repeated:start
34067,control,repeated:step_1
34101,test,missing_confirm
34101,test,repeated:start
34501,control,missing_confirm
34501,control,went_back:step_2_to_start
34501,control,went_back:step_2_to_step_1
34501,control,went_back:step_1_to_start
34501,control,repeated:start
34501,control,repeated:step_1
34501,control,repeated:step_2
34608,test,missing_confirm
34631,control,missing_confirm
34631,control,went_back:step_1_to_start
34631,control,went_back:step_3_to_start
34631,control,repeated:start
34631,control,repeated:step_1
35010,test,missing_confirm
35010,test,went_back:step_2_to_step_1
35010,test,went_back:step_1_to_start
35010,test,repeated:start
35010,test,repeated:step_1
35087,control,missing_confirm
35087,control,went_back:step_2_to_step_1
35087,control,repeated:step_1
35087,control,repeated:step_2
35091,test,missing_confirm
35091,test,went_back:step_1_to_start
35091,test,repeated:start
35138,test,repeated:confirm
35181,test,went_back:step_1_to_start
35181,test,repeated:start
35181,test,repeated:step_1
35476,test,went_back:step_1_to_start
35476,test,repeated:start
35476,test,repeated:step_1
35922,test,repeated:start
36109,control,went_back:confirm_to_start
36109,control,repeated:start
36109,control,repeated:step_1
36109,control,repeated:confirm
36430,test,went_back:step_3_to_step_2
36430,test,repeated:step_2
36430,test,repeated:step_3
36430,test,repeated:confirm
36432,test,missing_confirm
36432,test,went_back:step_2_to_step_1
36432,test,went_back:step_1_to_start
36432,test,repeated:start
36432,test,repeated:step_1
36555,test,missing_confirm
36555,test,went_back:step_3_to_start
36555,test,repeated:start
36555,test,repeated:step_1
36986,test,went_back:step_1_to_start
36986,test,went_back:confirm_to_step_1
36986,test,went_back:step_1_to_start
36986,test,went_back:step_3_to_start
36986,test,repeated:start
36986,test,repeated:step_1
36986,test,repeated:step_2
36986,test,repeated:step_3
37064,control,went_back:step_3_to_step_2
37064,control,went_back:step_3_to_step_2
37064,control,repeated:step_2
37064,control,repeated:step_3
37295,control,went_back:step_3_to_step_2
37295,control,repeated:start
37295,control,repeated:step_2
37295,control,repeated:step_3
37423,test,went_back:step_1_to_start
37423,test,went_back:confirm_to_start
37423,test,went_back:step_1_to_start
37423,test,went_back:step_1_to_start
37423,test,repeated:start
37423,test,repeated:step_1
37691,test,missing_confirm
37691,test,went_back:step_1_to_start
37691,test,repeated:start
38275,test,missing_confirm
38275,test,repeated:start
38283,test,went_back:step_1_to_start
38283,test,repeated:start
38283,test,repeated:step_1
38340,test,repeated:confirm
38551,test,went_back:confirm_to_start
38551,test,repeated:start
38685,control,repeated:confirm
38775,test,missing_confirm
38775,test,repeated:start
38930,control,went_back:step_3_to_step_1
38930,control,repeated:step_1
38930,control,repeated:step_2
38930,control,repeated:step_3
39004,test,missing_confirm
39968,control,missing_confirm
39968,control,repeated:start
40283,test,missing_confirm
40283,test,repeated:start
40969,test,missing_confirm
40969,test,went_back:step_1_to_start
40969,test,repeated:start
41142,test,went_back:step_1_to_start
41142,test,repeated:start
41142,test,repeated:step_1
41142,test,repeated:confirm
41237,test,repeated:confirm
41652,control,missing_confirm
41924,test,missing_confirm
41924,test,went_back:step_2_to_start
41924,test,repeated:start
42082,control,repeated:start
42296,control,missing_confirm
42296,control,repeated:start
43494,control,missing_confirm
43494,control,went_back:step_2_to_start
43494,control,repeated:start
43645,test,repeated:confirm
43766,control,missing_confirm
44060,control,went_back:step_2_to_step_1
44060,control,went_back:step_1_to_start
44060,control,repeated:start
44060,control,repeated:step_1
44060,control,repeated:step_2
44216,control,repeated:start
44705,test,went_back:step_1_to_start
44705,test,repeated:start
44705,test,repeated:step_1
44995,test,missing_confirm
45131,test,went_back:step_3_to_start
45131,test,repeated:start
45131,test,repeated:step_1
45131,test,repeated:step_2
45131,test,repeated:step_3
45131,test,repeated:confirm
45232,test,repeated:start
45485,test,went_back:step_3_to_step_2
45485,test,repeated:step_2
45485,test,repeated:step_3
45510,test,went_back:step_3_to_start
45510,test,repeated:start
45510,test,repeated:step_1
45510,test,repeated:step_2
45510,test,repeated:step_3
46223,control,missing_confirm
46790,test,missing_confirm
46790,test,went_back:step_2_to_start
46790,test,repeated:start
46934,test,missing_confirm
46934,test,repeated:start
47402,control,missing_confirm
47402,control,went_back:step_2_to_start
47402,control,repeated:start
47860,test,missing_confirm
47860,test,went_back:step_3_to_start
47860,test,repeated:start
47860,test,repeated:step_3
47933,control,went_back:confirm_to_start
47933,control,repeated:start
47933,control,repeated:step_1
48241,control,missing_confirm
48241,control,went_back:step_1_to_start
48241,control,went_back:step_2_to_start
48241,control,went_back:step_2_to_step_1
48241,control,went_back:step_1_to_start
48241,control,went_back:step_2_to_step_1
48241,control,went_back:step_1_to_start
48241,control,went_back:step_1_to_start
48241,control,repeated:start
48241,control,repeated:step_1
48241,control,repeated:step_2
48424,control,missing_confirm
48424,control,went_back:step_2_to_start
48424,control,went_back:step_1_to_start
48424,control,went_back:step_1_to_start
48424,control,repeated:start
48424,control,repeated:step_1
48424,control,repeated:step_2
48424,control,repeated:step_3
48448,test,repeated:start
48448,test,repeated:confirm
48724,test,went_back:step_3_to_start
48724,test,repeated:start
48724,test,repeated:step_1
48724,test,repeated:step_2
48724,test,repeated:step_3
49412,control,went_back:step_3_to_step_2
49412,control,went_back:step_3_to_step_2
49412,control,repeated:step_2
49412,control,repeated:step_3
49450,control,went_back:step_3_to_step_1
49450,control,repeated:start
49450,control,repeated:step_1
49450,control,repeated:step_2
49450,control,repeated:step_3
49709,test,went_back:step_3_to_step_2
49709,test,went_back:step_3_to_step_2
49709,test,went_back:step_3_to_step_2
49709,test,repeated:step_2
49709,test,repeated:step_3
49998,test,missing_confirm
50599,test,missing_confirm
50599,test,repeated:start
50643,control,repeated:start
50643,control,repeated:step_2
50643,control,repeated:confirm
50692,control,missing_confirm
51526,test,went_back:step_1_to_start
51526,test,repeated:start
51526,test,repeated:step_1
51526,test,repeated:step_3
52111,control,went_back:step_1_to_start
52111,control,went_back:step_1_to_start
52111,control,went_back:step_3_to_start
52111,control,repeated:start
52111,control,repeated:step_1
52111,control,repeated:step_2
52111,control,repeated:step_3
52309,test,missing_confirm
52309,test,went_back:step_2_to_step_1
52309,test,went_back:step_2_to_step_1
52309,test,went_back:step_1_to_start
52309,test,repeated:start
52309,test,repeated:step_1
52309,test,repeated:step_2
52384,control,missing_confirm
52384,control,repeated:start
52456,control,went_back:confirm_to_step_3
52456,control,went_back:step_3_to_start
52456,control,repeated:start
52456,control,repeated:step_1
52456,control,repeated:step_2
52456,control,repeated:step_3
52743,test,went_back:step_1_to_start
52743,test,went_back:step_2_to_step_1
52743,test,went_back:step_3_to_step_2
52743,test,repeated:start
52743,test,repeated:step_1
52743,test,repeated:step_2
52743,test,repeated:step_3
53169,control,missing_confirm
53169,control,repeated:start
53396,test,repeated:confirm
53990,control,missing_confirm
54477,control,missing_confirm
55265,test,went_back:step_3_to_step_1
55265,test,repeated:step_1
55265,test,repeated:step_2
55265,test,repeated:step_3
55333,test,repeated:confirm
55448,control,went_back:confirm_to_start
55448,control,repeated:start
55448,control,repeated:step_1
55951,test,missing_confirm
55951,test,repeated:start
56294,test,went_back:step_1_to_start
56294,test,repeated:start
56294,test,repeated:step_1
56529,control,repeated:start
56570,test,missing_confirm
56570,test,went_back:step_1_to_start
56570,test,went_back:step_3_to_start
56570,test,repeated:start
56570,test,repeated:step_1
56782,control,missing_confirm
56782,control,went_back:step_2_to_start
56782,control,repeated:start
56923,test,went_back:step_3_to_step_2
56923,test,repeated:step_2
56923,test,repeated:step_3
56923,test,repeated:confirm
58001,control,went_back:step_1_to_start
58001,control,repeated:start
58001,control,repeated:step_1
58194,test,went_back:step_3_to_step_1
58194,test,repeated:step_1
58194,test,repeated:step_2
58194,test,repeated:step_3
58196,control,went_back:step_1_to_start
58196,control,went_back:step_3_to_start
58196,control,repeated:start
58196,control,repeated:step_1
58196,control,repeated:step_2
58196,control,repeated:step_3
58456,control,went_back:confirm_to_start
58456,control,went_back:step_1_to_start
58456,control,repeated:start
58456,control,repeated:step_1
58456,control,repeated:confirm
58589,control,went_back:step_3_to_start
58589,control,went_back:step_3_to_start
58589,control,repeated:start
58589,control,repeated:step_1
58589,control,repeated:step_2
58589,control,repeated:step_3
58917,control,went_back:step_1_to_start
58917,control,repeated:start
58917,control,repeated:step_1
58962,test,repeated:step_1
59089,control,repeated:start
59605,control,missing_confirm
59782,control,went_back:step_1_to_start
59782,control,repeated:start
59782,control,repeated:step_1
59802,test,went_back:step_3_to_step_1
59802,test,repeated:step_1
59802,test,repeated:step_2
59802,test,repeated:step_3
59860,control,went_back:step_1_to_start
59860,control,went_back:step_1_to_start
59860,control,went_back:step_1_to_start
59860,control,repeated:start
59860,control,repeated:step_1
60802,test,missing_confirm
60802,test,went_back:step_1_to_start
60802,test,went_back:step_1_to_start
60802,test,went_back:step_3_to_start
60802,test,repeated:start
60802,test,repeated:step_1
60958,test,missing_confirm
60958,test,repeated:start
61007,test,missing_confirm
61007,test,repeated:start
61650,test,repeated:start
61961,test,went_back:step_2_to_step_1
